"--164552ea90517a40","Повстання"
"heist_mallcrasher_hl","Торгівельна Дробарка"
"heist_man","Під прикриттям"
"heist_man_briefing","Колишній збирач податків подумав, що він був хитрим, уклавши угоду з великою корпорацією, але інформація просочилася, і тепер більші акули хочуть долучитися - всі до одного. У нас є повністю порожня будівля, яку ми повністю контролюємо, з видом на угоду. Ми встановили обладнання. Алекс допоможе з краном. Налякаємо збирача податків до його лімузина, змусимо його тремтіти, і він обов'язково віддасть нам сервер і коди. Коли мова йде про 25 000 000 доларів, все можна."
"heist_man_crimenet","Колишній збирач податків частіше за все несе сервер, що важить набагато більше, ніж просто станом. З'єднай мене з комп'ютером усередині будівлі, і я зможу легко передати дані. Давайте покажемо йому, що ми маємо на увазі.$NL;$NL;» Отримайте сервер колишнього збирача податків$NL;» Вийміть коди$NL;» Зламайте і передайте дані"
"heist_man_hl","Під прикриттям"
"heist_mex","Пограбування банку: Готівка
"
"heist_mex_briefing",""
"heist_mex_cooking","Кристали кордону"
"heist_mex_cooking_briefing","Ви знаєте звичайний порядок дій, друзі. Просто продовжуйте варити, поки зможете, і це буде непоганим доповненням до наших фінансів. Я допоможу вам, наскільки зможу. Coyopas не будуть раді вас бачити, та ще й їм допомагають мої колишні колеги з Murkywater, тож у вас буде повний рот роботи, але це буде того варте."
"heist_mex_cooking_crimenet","Friends, I've arranged a little way to make us another big pile of nice cash. You're going to do a little cooking, of the less-than-healthy kind. Those dwankies in the Coyopa Cartel have a nice meth lab set up in their compound, just south of the border, for us to borrow"" for a bit. $NL;$NL;» Enter the compound$NL;» Find the meth lab$NL;» Find the ingredients$NL;» Cook meth$NL;» Escape"""
"heist_mex_cooking_hl","Склад Coyopa"
"heist_mex_crimenet","Цінні активи Murkywater переправляються з континенту через Мексику за допомогою секретного тунелю Coyopa cartel та Overkill MC. Якщо ми швидко візьмемося за діло, ми зможемо забрати ці ресурси прямо з-під їхніх носів, поки Дантист зайнятий Бейн, і завдати їм нищівного удару.$NL;$NL;» Увійдіть на об'єкт Overkill MC в Аризоні$NL;» Знайдіть тунель до складу Coyopa в Мексиці$NL;» Вкрадіть награбоване Murkywater і втекти"
"heist_mex_hl","Південний кордон"
"heist_mex_transition","ДЕСЬ У МЕКСИЦІ..."
"heist_mia","Гаряча лінія Маямі"
"heist_mia_1_briefing","Дантист послав нас за російським мафіозі, який називає себе Комісаром. У нього є кримінальні інтереси по всьому Східному узбережжю, включаючи цей мотель на висоті. Ми не знаємо, де він зараз, тож вам потрібно застосувати трохи тиску. Ми скинули йому гарячу лінію до нас. Розгроміть це місце якнайсильніше, і він має зателефонувати. А коли він зателефонує, ми зможемо його відстежити.$NL;$NL;Ми робимо це для Хокстона."
"heist_mia_1_hl","Гаряча лінія Маямі"
"heist_mia_2_briefing","Ми використовуємо ящики, щоб увійти в місце Комісара. Троянський кінь, так би мовити. Його квартира - брудний будиночок у поганому районі міста. Безпека не дуже хороша, але я впевнений, що в нього і його м'язів є щось у рукаві. Завдання просте: знайти Комісара і вбити його. Це буде дуже голосно, тож одягніться відповідно."
"heist_mia_2_hl","Чотири поверхи"
"heist_mia_crimenet","Мої довгострокові плани вимагають впливу на прокурора округу Вашингтон. Мій гарячий лінії до нього йде через росіянина, який діє з Майамі. Ваше завдання - усунути цього росіянина. Змусьте його вийти з укриття, саботуючи його операції у Вашингтоні. Я б побажав вам успіху, але успіх тут ні до чого.$NL;$NL;Дантист хоче, щоб ви розібралися з Комісаром.$NL;$NL;» Змусьте Комісара зателефонувати вам$NL;» Відстежте дзвінок$NL;» Увійдіть у сховище Комісара і усуньте його"
"heist_moon","Вкрадений Різдво"
"heist_moon_crimenet","Мій шурин, той нікчемний покидьок, перевозив трохи снігу для мене - колумбійського снігу, знаєте, на Різдво. Але він напортачив і був висліджений поліцією. Він ховався в Midtown Mall, але я думаю, що поліція його спіймала. Ці прокляті американські поліцейські, у цьому краї немає різдвяного духу! Я - добрий хлопець, і Різдво - про прощення, але це не ОК. Не ОК! Ви повинні мені допомогти, мої друзі.$NL;$NL;» Врятуйте Санту$NL;» Поверніть кокаїн Влада$NL;» Вкрадіть різдвяну ялинку і втекти"
"heist_moon_hl","Вкрадений Різдво"
"heist_moon_hl_briefing","Шурин Влада сховався від поліції в загрузочній зоні торгового центру. Виявляється, він сховав кокаїн у різні коробки, які потім були розподілені по магазинах усього торгового центру. Він також переодягнувся в костюм Санта-Клауса і вкрав горілку, і напився. Який бардак. Поліцейські запідозрили п'яного Санту і затримали його. Вам потрібно буде його звільнити і запитати, чи пам'ятає він, у які коробки він поклав кокаїн."
"heist_mus","Діамант"
"heist_mus_briefing","Це одна з великих справ. Ми йдемо за великим призом - Діамантом. Ви вломитеся в музей МакКендрика, дістанете камінь і вибратися. Звучить просто. Ну, «просто» не завжди означає «легко», і це не буде легко. Отже, ось «прості» завдання. Увійдіть у музей. Як тільки ви будете всередині, перевірте, яка безпека між вами і Діамантом. Візьміть її під контроль. Як тільки ви отримаєте камінь, вибирайтеся.$NL;$NL;Це завдання для Дантиста. Він єдиний, хто має зв'язки, щоб продати найвідоміший діамант у світі. Я маю відчуття, що він нас випробовує. Перевіряє, чи ми підходимо для такого масштабного пограбування."
"heist_mus_crimenet","Діамант має історичну цінність. Він також надзвичайно цінний. Дантист - один із небагатьох людей, які мають зв'язки, щоб його продати. Ви вилучите його для анонімного клієнта, якого він представляє.$NL;$NL;» Увійдіть у музей МакКендрика$NL;» Знайдіть місце, де зберігається Діамант$NL;» Вкрадіть Діамант$NL;» Вкрадіть будь-які інші артефакти, які ви знайдете"
"heist_mus_hl","Діамант"
"heist_nail","Лабораторні Щури"
"heist_nail_briefing","Ми працюємо в лабораторії пізно вночі,$NL;даючи вашим очам побачити моторошне видовище.$NL;Починайте варити на столі,$NL;кипіти і булькати.$NL;І не дайте поліцейським,$NL;створити проблеми."
"heist_nail_crimenet","Цукерки чи життя,$NL;понюхайте мої ноги.$NL;Дайте мені щось, щоб я міг вийти на вулицю.$NL;Якщо ви не дасте,$NL;мені байдуже.$NL;Тільки не варите в нижній білизні."
"heist_nail_hl","Лабораторні Щури"
"heist_nightclub","Нічний клуб"
"heist_nightclub_briefing","ОК, ми вирушаємо в клуб Tasteful і, е... звільнимо їх резерв готівки. Нічого особливого. Знайдіть офіс менеджера, утримуйте натовп, і переконайтеся, що ми вийдемо цілими.$NL;$NL;О, і тут, мабуть, є конкуренти-російські мафіозі. Я знаю, що Влад теж не дуже відвертий зі мною."
"heist_nightclub_crimenet","Влад хоче, щоб ви вкрали гроші з нічного клубу Дмітрі.$NL;$NL;» Розвідайте нічний клуб$NL;» Вкрадіть гроші із сейфа в офісі$NL;» Заберіть гроші Дмітрі і доставте їх до машини"
"heist_nightclub_hl","Нічний клуб"
"heist_nmh","Ніякого Милосердя"
"heist_nmh_briefing","Наш клієнт потребує зразок крові пацієнта, якого тримають у ізоляторі лікарні Мерсі. Вам потрібно увійти туди, вивести з ладу систему спостереження, приборкати цивільних і отримати доступ до бази даних пацієнтів, щоб я міг ідентифікувати хлопця. З низьким рівнем безпеки в цьому місці це має бути чиста і акуратна робота. Я витягну вас через дах, коли ви закінчите. Ця справа трохи темна, організована через третю сторону - відчувається вплив якоїсь тіньової компанії військово-промислового комплексу, але це ризику варто. Виплата буде такою, якої ми потребуємо в майбутньому, плюс непогана премія."
"heist_nmh_crimenet","У Бейна залишилося лише кілька днів. Ці суки Kataru підсадили його вірусом. Те саме лайно, яке ми вкрали з лікарні Мерсі кілька років тому. Хто б ми не вкрали його для, вони продали його Murkywater, і тепер це вбиває Бейна. З самого початку я знав, що це погана справа. Бейн теж знав, але йому потрібен був рукопис Кальостро. Та проклята книга. Треба було сказати йому, щоб він забув про це, але він сказав, що це дуже потрібно для чогось, і, чесно кажучи, ми б ніколи не стали тим, ким ми є без цього.$NL;$NL;» Тримайте цивільних під контролем$NL;» Знайдіть правильного пацієнта$NL;» Втекти з двома підтвердженими зразками крові"
"heist_nmh_crimenet_hl","Ніякого милосердя"
"heist_nmh_hl","Ніякого милосердя (Спогад)"
"heist_pal","Фальсифікація товару"
"heist_pal_briefing","Ласкаво просимо до сонячного штату! Де жінки - золотодійки, а чоловіки - шахраї. Зустрічайте містера Мітчелла: на поверхні - тренер з гольфу для шанованого country club. Під поверхнею - професійний відмивач грошей і фальшивомоне́тчик - майстер-злочинець. Мітчелл і його партнер у злочині, Вілсон, зуміли залишитися під радаром, буквально заробляючи мільйони. Поки що."
"heist_pal_crimenet","Пакуйте валізи, бандо. Ця робота знаходиться на півдні лінії Мейсона-Діксі. Ми йдемо за Мітчеллом та Вілсоном - купка фальшивомонетників з Пенсаколи. Мають свої печатну операцію в підвалі. Це стримана операція і кінцевий результат виглядає порядно, через що він робить серйозні гроші. Заберемо шматок!$NL;$NL;» Зустріньтесь з Мітчеллом$NL;» Вломіться до підвалу$NL;» Заберіть фальшивомонетні пластини та тікайте"
"heist_pal_hl","Фальсифікація товару"
"heist_pbr","Під Горою"
"heist_pbr2","Народження неба"
"heist_pbr2_briefing","ОК, ось план. Локке організує ваш таємний пронос на літак. Чекайте його сигналу і виривайтеся. Опір має бути легким - тільки екіпаж. Гроші упаковані в великі піддони. Викиньте їх із вантажних дверей, і ми їх підберемо, коли вони впадуть на землю. Просто."
"heist_pbr2_crimenet","Ціль - транспортний літак Murkywater. Він перевозить піддони з валютою. Вас таємно пронесуть на борт. Викиньте гроші з літака і підберіть їх.$NL;$NL;» Увійдіть у вантажний відсік$NL;» Відкрийте вантажні двері і випустіть піддони з грошима$NL;» Стрибніть із парашутом на поверхню$NL;» Підберіть піддони з грошима в місті і дайте сигнал Локке$NL;» Спустіться в каналізацію і втекти"
"heist_pbr2_hl","Народження неба"
"heist_pbr_briefing","Локке організував завдання на об'єкті Murky в пустелі. Чорний хребет. Колись це була стара військово-повітряна база, ще за часів Холодної війни. Murkywater викупили її після Холодної війни, перетворивши на свій Форт-Нокс, тож можна бути впевненим, що вони зберігають тут серйозні статки. Не знаю, чого очікувати. Немає багато інформації в мережі, тож ми маємо мало розвідданих. Одне відомо точно - ви не зможете непомітно пройти через це місце. Одягайтеся для гучної справи."
"heist_pbr_crimenet","Ціль знаходиться в об'єкті Murkywater в пустелі. Вважайте це їхнім Форт-Ноксом. Ввірвіться туди та заберіть будь-яку здобич яку вони мають.$NL;$NL;» Отримайте активи залишені Локком$NL;» Пробивайтесь до внутрішнього комплекс$NL;» Відчиняйте сховища та забирайте здобич$NL;» Зустріньтесь з Локом$NL;» Знищте радари та тікайте"
"heist_pbr_hl","Під Горою"
"heist_pent","Майстер Гори"
"heist_pent_briefing","Гаразд, ви лишні! Це велика справа. Нам потрібно усунути Юфу Вана. Сволота ховається на верхньому поверсі будівлі, тож дістатися до нього буде нелегко. Але не хвилюйтеся, друзі, там є багато сховищ, які можна пограбувати. Все, що ви зможете дістати, ваше, тож ви не залишитеся з порожніми руками.$NL;$NL;У Шаю є інсайдер, який допомагає нам із інструментами та обладнанням, але одне, що вона не може зробити, це отримати ліфт до пентхауса. Він контролюється віддаленим охоронцем і не може бути зламаний, щоб дістатися до верхнього поверху. Тож вам доведеться під'єднати мотузки і летіти нагору."
"heist_pent_crimenet","Багато з нас у внутрішньому колі Золотої Дагер незадоволені тим, як Юфу Ван поводився останнім часом. Час для старого відійти на пенсію. Усуньте його і вкрадіть його жорсткий диск. Він містить безцінну інформацію, життєво важливу для мого захоплення влади. Що стосується вашої винагороди - Ван має суттєвий золотий резерв у своєму пентхаусі. Він ваш.$NL;$NL;» Увійдіть у будівлю і отримайте доступ до пентхауса$NL;» Вкрадіть жорсткий диск$NL;» Усуньте Юфу Вана$NL;» Вкрадіть золото і втекти"
"heist_pent_hl","Майстер Гори"
"heist_peta","Симулятор кози"
"heist_peta2","Симулятор кози"
"heist_peta2_briefing","ОК, я думаю, що найгірше вже позаду. Водій Влада доставив кіз на ферму за містом, готові виконати вилучення пакетів. Тримайтеся поруч. Стережіть периметр. Легка робота, так?"
"heist_peta2_crimenet","Водій Влада доставив кіз на ферму за містом. Надівайте перчатки - час зайнятися брудною роботою.$NL;$NL;» Переконайтеся, що товар у безпеці$NL;» Стережіть периметр$NL;» Залиште територію і втекти"
"heist_peta2_hl","Брудна праця"
"heist_peta_briefing","У цього гондураського картеля є вантажівка, яка перевозить товар через центр міста. Влад організував напад на неї. Ми займаємося ліквідацією наслідків. Ми входимо після цього і забезпечуємо, щоб товар був доставлений. Працюємо на місці, розумієте?"
"heist_peta_crimenet","Смерть Ектосa залишила вакуум у торгівлі кокаїном. Природа не терпить вакууму. Чорт забирай, не терпить! Є покидьки, які лізуть звідусіль. Банда гондурасців намагається поширити свій вплив. Давайте вдаримо по них, перш ніж вони зможуть закріпитися. Розгромимо їхню контрабандну мережу. Вкрадемо їхній товар. Що може піти не так?$NL;$NL;» Розвідайте кіз$NL;» Забезпечте безпеку кіз$NL;» Втекти"
"heist_peta_hl","Це була не та угода"
"heist_pex","Сніданок в Тіхуані"
"heist_pex_briefing","Хайрудін утримується на околиці міста. Але рівень насильства в Тіхуані сумнозвісний, і рівень безпеки поліцейської дільниці відображає це. Це справжня фортеця! Це не буде легко, але якщо хтось може це зробити, то це ви, хлопці. Успіхів!"
"heist_pex_crimenet","Шурин Влада, Хайрудін, був захоплений мексиканськими копами. Мабуть, це сталося відразу після того банківського пограбування, яке ми зробили. Вони перевели його до поліцейської дільниці в Тіхуані, і виявляється, вони також зберігають докази, які можуть посадити його за ґрати на довгий термін. Нам потрібно його витягнути.$NL;$NL;» Знайдіть спосіб увійти в поліцейську дільницю$NL;» Знищіть докази$NL;» Знайдіть і звільніть в'язня$NL;» Втекти"
"heist_pex_hl","Сніданок в Тіхуані"
"heist_pines","Біле Різдво"
"heist_pines_briefing","Нам потрібно дістатися туди швидко, але це дуже далеко в глушині, тож ви будете стрибати з парашутом. Знайдіть пілота - він, мабуть, біля місця катастрофи - і потім ми відправимо гелікоптер, щоб його забрати. Залишайтеся з ним, поки він не буде безпечно евакуйований. Також Влад каже, що на тому літаку був товар. Обшукайте ліс і витягніть стільки, скільки зможете. Завжди можна трохи додаткових грошей на Різдво."
"heist_pines_crimenet","Влад хоче щоб ви врятували його п'яного пілота та зібрали його продукт.$NL;$NL;» Знайдіть пілота$NL;» Оберігайте його і приведіть його до рятувального гелікоптера$NL;» Заберіть стільки кокаїну, скільки зможете"
"heist_pines_hl","Біле Різдво"
"heist_ranc","Ранчо Мідленд"
"heist_ranc_briefing","Це наше перше завдання в штаті Лонг Стар, тож давайте зробимо круте враження, так?$NL;Інформація, яку хоче Ґемма, знаходиться на персональному комп'ютері в будинку ранчо. Хапайте його першим, потім знайдіть зброю і розберіться із майстернею.$NL;Тримайте в голові: цей Естебан - параноїдальний виродок, і те ранчо під пильною охороною. Крім того, я чую, що US Marshals тримають очі на нас. Тримайтеся тихо, якщо зможете.$NL;Гаразд, давайте покажемо цим техасцям, з чого ми зроблені!"
"heist_ranc_crimenet","Контрабандист на ім'я Естебан Сантьяґо намагається потіснити мене з моєї території. Настав час дати йому відсіч. Естебан збуває крадені прототипи зброї прямо з Midland Ranch. Я добре заплачу за них, а тобі дам додаткові гроші, якщо ти знищиш його майстерню зі зброєю. Естебан не надто розумний, тому гадаю, він працює на когось іншого. Ти добудеш інформацію про того, для кого він працює? За це теж будуть гроші. $NL;$NL;»Знайди інформацію про роботодавця Естебана Сантьяґо$NL;»Викради прототипи військової зброї$NL;»Саботуй майстерню зі зброєю"
"heist_ranc_hl","Midland Ranch"
"heist_random_skirmish","Випадковий виїзний пограбування"
"heist_rat","Варка"
"heist_rat_briefing","Це просте завдання, але це не означає, що воно буде легким. Ми вирушимо до лісу. Ти пам'ятаєш це місце. Ми виконували там роботу для Хектора. У будь-якому разі, я оглянув це місце, і воно все ще ціле. Тож ми вирушаємо туди, щоб виготовити там якомога більше метамфетаміну. Ти можеш залишатися там скільки завгодно. Якщо у тебе закінчаться припаси, я органірую доставку нових. Це має бути легкі гроші."
"heist_rat_crimenet","Ми повертаємося, щоб виготовити метамфетамін у лабораторії в лісі. Цього разу без лайна Хектора. Це лише заради прибутку. $NL;$NL;»Знайди лабораторію з метамфетаміном$NL;»Виготов метамфетамін$NL;»Захопи здобич та врятуйся"
"heist_rat_hl","Варка"
"heist_red2","Перший Світовий Банк"
"heist_red2_briefing","Сейф знаходиться глибоко в тилу банку. Дістатися до нього буде важко, але у нас є допомога. У нас є свій чоловік всередині, який підготувався і чекає на тебе. Він допоможе нам, коли ти будеш усередині.$NL;$NL;Ти можеш зробити це грубо, або можеш зробити це тихо. Тобі вирішувати."
"heist_red2_crimenet","Ми вже давно тримаємо на прицілі Перший Світовий Банк. Тепер настав час спустити курок. Піди туди і позбав їх незаконно нажитого.$NL;$NL;»Знайди менеджера$NL;»Дістанься до серверної кімнати$NL;»Проломи свій шлях до сейфу$NL;»Захопи всі гроші та врятуйся"
"heist_red2_hl","Перший Світовий Банк"
"heist_roberts","GO Банк"
"heist_roberts_briefing","У нас є банк. Не дуже велика філія, але я дізнався, що в сховищі тимчасово зберігаються пачки грошей у дорозі. Купюри в іноземній валюті.$NL;$NL;У будь-якому разі, ти знаєш, що робити - по-своєму. Проникни туди тихо або вчиняй пекло. У будь-якому випадку, у мене є ідея, як витягти гроші звідти. Ти побачиш, що я маю на увазі. Я думаю, тобі сподобається."
"heist_roberts_crimenet","Це класичне пограбування. Зламати сховище, спустошити депозитні скриньки і винести здобич. Все просто. За даними Бейна, у цьому відділенні найнижчий відсоток пограбувань у країні. Настав час це змінити.$NL;$NL;» Шукайте в приміщенні ключі від замків. Для сховища потрібні два$NL;» Якщо не вдасться, використайте бур в сховищі$NL;» Зламайте депозитні скриньки$NL;» Встановіть гак$NL;» Дістаньте гроші"
"heist_roberts_hl","GO Банк"
"heist_run","Вулична сутичка"
"heist_run_briefing","Ок, хлопці. Пам'ятайте з ким ви маєте справу. Локк не дуже довірча особа. У цьому є більше сторін ніж те, що він розповідає. Будьте насторожі."
"heist_run_crimenet","Як ти знаєш, розвідка та інформація - це мій бізнес. І нещодавно я натрапив на щось важливе, що стосується тебе. Банда PAYDAY. Хтось намагається знищити тебе, можливо, вбити всіх вас. Сьогодні вранці я перехопив повідомлення, яке вказує на те, що агент цих людей зустрічається з кимось у певному місці в центрі міста. Я ще не знаю, хто ці люди, але, як ти знаєш, я вважаю тебе цінним активом, і тому я хочу допомогти тобі схопити цього агента, щоб ти міг витягти з нього інформацію. Я дам тобі місце зустрічі, а потім стежитиму за тобою, поки ти проводиш операцію.$NL;$NL;»Знайди та схопи агента$NL;»Будь готовий до несподіванок"
"heist_run_hl","Вулична сутичка"
"heist_rvd","Пограбування “Скажені Пси”"
"heist_rvd1_briefing","Я знаю, що тобі було важко довіряти мені після Аляски, але відправлення тебе туди було єдиною достовірною хитрощами, яку ми мали час придумати, щоб вивести тебе з Вашингтона. Люди, яким Бейн колись довіряв... слухали. І тепер він пішов. Ми знали, що щось має статися, але не знали, коли і що. Тримати тебе в невіданні було моїм рішенням, а не Бейна. Ніколи не думав, що вони дійсно зможуть дістатися до нього. Подивись, я розумію, що це звучить як маячня, але ти вибрався з тими пістолетами, які я залишив, чи не так? Мені шкода про Бейна... ми розберемося з цим... але спочатку ми повинні вивести тебе звідти. Будь ласка, довіряй мені, хлопці, я не обманюю тебе. Я обіцяю довести це."
"heist_rvd1_hl","Морг Хайленд"
"heist_rvd2","Пограбування за сценарієм «Собаки резервуара»"
"heist_rvd2_briefing","Гаразд, хлопці. Люди Кабота чекатимуть на вас зовні магазину. З того, що він мені сказав, це має бути швидко і легко. Покажіть цим професійним бандитам із Лос-Анджелеса, на що здатна банда PAYDAY."
"heist_rvd2_crimenet","У Бейна є робота на Заході. Кримінальна сім'я Кабота в Лос-Анджелесі потребує допомоги у пограбуванні ювелірного магазину заради партії діамантів. Це легке завдання: увійти, зламати сейф, забрати діаманти і зустрітися пізніше на старому моргу.$NL;$NL;»Зустрінься з людьми Кабота зовні магазину$NL;»Увійди до сейфової кімнати і викради діаманти$NL;»Зустрінься з людьми Кабота на складі біля Highland Mortuary$NL;»Збери діаманти в тилу складу$NL;»Чекай на Твіча з машиною для втечі"
"heist_rvd2_hl","Boutique Групи Ґарнет"
"heist_rvd_crimenet","У Бейна є робота на Заході. Кримінальна сім'я Кабота в Лос-Анджелесі потребує допомоги у пограбуванні ювелірного магазину заради партії діамантів. Це легке завдання: увійти, зламати сейф, забрати діаманти і зустрітися пізніше на старому моргу.$NL;$NL;»Зустрінься з людьми Кабота зовні магазину$NL;»Увійди до сейфової кімнати і викради діаманти$NL;»Зустрінься з людьми Кабота на складі біля Highland Mortuary$NL;»Збери діаманти в тилу складу$NL;»Чекай на Твіча з машиною для втечі"
"heist_safehouse","Сховище"
"heist_safehouse_briefing","Безпечне сховище - це твій дім подалі від дому, твоя фортеця, твоє місце для роздумів, місце, де твої гроші набувають форми і змісту. Безпечне сховище дає тобі місце, де ти можеш відточити свої навички в середовищі з низьким рівнем стресу. Ти зможеш випробувати різноманітну зброю, механіки, такі як злам сейфів і знешкодження камер, помилуватися великими пачками готівки у своєму сховищі, і навіть придбати активи, щоб зробити це місце заздрим для кожного злочинця відсьода до Білого дому."
"heist_safehouse_briefing_2","Ласкаво просимо назад до безпечного сховища."
"heist_safehouse_crimenet","Бейн організував для тебе безпечне сховище."
"heist_safehouse_hl","Сховище"
"heist_sah","Шаклторнський Аукціон"
"heist_sah_briefing","Гаразд, отже ми їдемо до Салема і викрадаємо артефакт з розкішної вечірки багатіїв, прямо перед початком аукціону, так? Ти увійдеш туди після настання темряви, і буде туманно і дощить, тому, якщо зможеш, зроби все тихо. Це старий маєток, але системи безпеки досить солідні, з багатьма вдосконаленнями. За таких обставин, чим менше уваги ми привернемо з боку поліцейських, тим краще. Але якщо тобі доведеться піти на штурм, то просто зроби це швидко."
"heist_sah_crimenet","Слон надіслав нам інформацію про старий маєток у Салемі, де проводиться аукціон, на якому буде представлено артефакт, потрібний нам для пристрою на кухні.$NL;$NL;»Пройди повз охорону і увійди до маєтку$NL;»Знайди код і отримай доступ до сейфової кімнати$NL;»Захопи артефакт і врятуйся"
"heist_sah_crimenet_hl","Пограбування аукціону"
"heist_sah_hl","Шаклторнський Аукціон"
"heist_sand","Український в'язень"
"heist_sand_briefing","Гаразд, ви, умільці, нам потрібно діяти швидко. Лояльність Влада до нас має свої межі, і якщо вони його зламають, це ввергне нас у купу проблем. Наш інформатор всередині об'єкта Jiu Feng на докерній станції надав нам багато розвідданих. Об'єкт обладнаний серйозними засобами спостереження, які ми можемо використати собі на користь. Коли ти знайдеш Влада, наш інформатор допоможе тобі переправити його. Jiu Feng запропонував особисто вивезти тебе на човні. Після того, як ми це зробимо, той дурень-українець буде нам зобов'язаний, точно!"
"heist_sand_crimenet","У мене є робота для тебе, так? Мій колишній бос Yufu Wang збирається піти за тобою і тріадою, і вони схопили твого співучасника, Влада Козака. Збираються витягти з нього інформацію про твоє місцезнаходження. Вони повернули одного зі своїх головних виконавців з Гонконгу, щоб впоратися з допитом, якийсь лайно на ім'я Xun Kang, жорстокий виродок, який заправляє всім на тому боці ставка. Вони тримають твого хлопця всередині транспортного контейнера на сан-францискських доку. Тобі пощастило, що у мене є свій чоловік всередині, так?$NL;$NL;»Пройди на докерну станцію$NL;»Знайди Влада і врятуйся"
"heist_sand_hl","Український в'язень"
"heist_short1","Флешка - Тихо"
"heist_short1_crimenet"," "
"heist_short1_nx64","Флеш-накопичувач"
"heist_short1_plan_nx64","Тихо"
"heist_short1_stage1","Тихо - Флешка"
"heist_short1_stage1_briefing","Даллас, старий друже, я радий знову бачити тебе після двох років. Тепер ти вже знаєш, що я ґрунтовний чоловік, тому не повинно бути несподіванкою, що я хочу позбутися будь-якого іржі, який міг накопичитися. Просто дотримуйся моїх інструкцій, як у старі часи, і це буде прогулянка парком. Ми беремо коди доступу, які нам знадобляться пізніше, але нам потрібно зробити так, щоб це виглядало як звичайне пограбування. Ти робиш це тихо, тому одягнися відповідно."
"heist_short1_stage1_crimenet","Увійди до поліцейського сховища і захопи коди доступу, які нам знадобляться пізніше."
"heist_short1_stage1_hl","Тихо - Флешка"
"heist_short1_stage2","Тихо - Стирання Історії"
"heist_short1_stage2_briefing","Гаразд, Даллас. Настав час використати ті коди доступу, які ми викрали минулої ночі. Знайди спосіб потрапити всередину будівлі - отримай доступ до поліцейської бази даних і видали всю інформацію, яку вони мають на Crime.net. Це не буде прогулянка парком, тому покажи мені, що ти все ще маєш те, що треба."
"heist_short1_stage2_crimenet","Увійди до будівлі - отримай доступ до поліцейської бази даних і видали всю інформацію, яку вони мають на Crime.net."
"heist_short1_stage2_hl","Тихо - Стирання Історії"
"heist_short2","Принеси кокаїн - громко"
"heist_short2_crimenet"," "
"heist_short2_nx64","Принеси кокаїн"
"heist_short2_plan_nx64","Гучний варіант"
"heist_short2_stage1","Гучно - Здобути Кокаїн"
"heist_short2_stage1_briefing","Гаразд, Даллас. Прошло два роки з тих пір, як ми працювали разом, і мені потрібно побачити, що ти все ще маєш те, що треба. Почнемо з чогось простого, гаразд? Один мій знайомий нещодавно був обікрадений на кокаїновій угоді якимсь низькопробним бандитом. Мені потрібно, щоб ти увірвався до його нічних клубів і подивився, чи зможеш ти знайти вкрадений кокаїн і повернути його. Просто, так?"
"heist_short2_stage1_crimenet","Гаразд, Даллас. Прошло два роки з тих пір, як ми працювали разом, і мені потрібно побачити, що ти все ще маєш те, що треба. Почнемо з чогось простого, гаразд? Один мій знайомий нещодавно був обікрадений на кокаїновій угоді якимсь низькопробним бандитом. Мені потрібно, щоб ти увірвався до його нічних клубів і подивився, чи зможеш ти знайти вкрадений кокаїн і повернути його. Просто, так?"
"heist_short2_stage1_hl","Гучно - Здобути Кокаїн"
"heist_short2_stage2b","Гучний варіант - план Б"
"heist_short2_stage2b_briefing","Це ще не все, Даллас! Ми підняли більше жару, ніж я очікував, і поліцейські вже за тобою. Спробуй відірватися від них, перш ніж вони тебе оточать і все стане погано!"
"heist_short2_stage2b_hl","Гучний варіант - план Б"
"heist_shoutout_raid","Плавлення"
"heist_shoutout_raid_briefing","Ми штурмуємо склад Murkywater заради Влада. Не знаю, що саме є нашою ціллю, або де вона знаходиться, але вона захована у сховищі всередині одного з їхніх брендованих контейнерів. Увійди туди, знайди сховище і винеси те, що хоче той божевільний росіянин. $NL;$NL; Murkywater буде на високому рівні готовності, коли ти прибудеш туди, і поліцейські швидко відреагують, тому тобі доведеться швидко увійти і виконати роботу. Швидко означає грубо. Ніякого тихоходства цього разу. З перших секунд все буде на відкритій безпеці. І не забудь, що навколо багато здобичі. Подивись, що ти можеш захопити."
"heist_shoutout_raid_crimenet","Я чув про те, як майстерно ви проникли до складу Murkywater. Вражає. Мені треба щоб ви повернулись туди. У цих найманців є 'дещо' сховане. Дещо, що мені потрібно. Мьоркі виїжджають, і мені це потрібно до того як це дещо зникне чорт знає де.$NL;$NL; » Проникніть до складу Murkywater $NL; » Знайдіть сховище $NL; » Заблокуйте вентиляцію в сховищі $NL; » Транспортуйте здобич до потяга"
"heist_shoutout_raid_hl","Плавлення"
"heist_skm_arena","Пограбування Алессо"
"heist_skm_arena_briefing","Більшість людей платять за те, щоб потрапити на концерт. Сьогодні хтось заплатить за те, щоб вибратися звідти. Ми беремо заручника, а потім тиснемо на поліцейських, щоб вони заплатили за його звільнення. Просто зберігай спокій і насолоджуйся музикою, якщо зможеш, вони заплатять, якщо ти триматимешся."
"heist_skm_arena_h1","Пограбування Алессо"
"heist_skm_bex","Банк Сан Мартін"
