"--12f00d0145597481","Гелловін"
"sm_8_desc","Vlad's happy, and, trust me, we want to keep that guy smiling. He's so happy, in fact, he's got a couple of jobs for you that're a little bit personal. Do these for him, he says, and we're gonna be his top guys. Can't hurt to do the big guy a couple of little favors, can it?"
"sm_8_name","Personal Favors"
"sm_8_obj","Complete the White Xmas job and Ukrainian Job on the Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_9_desc","Okay, Vlad - well, he likes how you do things. Says he's got a job for you. Something special. Something big. Something like that can only end in trouble for everyone. So make sure you hit it hard and fast."
"sm_9_desc_old","Okay, Vlad - well, he likes how you do things. Says he's got a job for you. Something special. Something big. He wants you to boost 'something' from that Murkywater warehouse you hit for Gage, you remember that? Vlad is pitching against the Murkies. Something like that can only end in trouble for everyone. So make sure you hit it hard and fast."
"sm_9_name","Duck & Cover"
"sm_9_obj","Complete the Meltdown job on the Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_act_1_name","Розділ 1: Це Лише Початок"
"sm_act_2_name","Розділ 2: Королі Кримінальної Мережі"
"sm_act_3_name","Розділ 3: Кінець гри"
"sm_end_name","Here's to Another Heist!"
"sm_first_safehouse_desc","Since you'll be out on the streets wreaking havoc, you're gonna need a place to call home- a safe house. I got just the place. It's nothing too fancy but it will have to do for now. Head over there and check it out, then later we can go about making some money."
"sm_first_safehouse_name","A Safe Haven"
"sm_first_safehouse_obj","Visit your safe house atleast once."
"sm_hoxton_revenge_desc","Hoxton used his time on the inside well. He wasn't even out of his prison pyjamas before busting in the FBI headquarters and getting everything he could about the rat. No name - the Feds are too canny for that - but the location of the safe house where the rat is being held. Time to finish this."
"sm_hoxton_revenge_name","Bullets in the Safe House"
"sm_hoxton_revenge_obj","Complete the Hoxton Revenge job on the Very Hard difficulty or higher.$NL;This assignment requires you to play from the lobby to the end of the heist."
"sm_moving_up_desc","OK, I told you before that people are watching you, One guy in particular has an interest in you. I might have something big coming up with this new contact, but the job he has in mind will be difficult and you have to get ready for it."
"sm_moving_up_desc_old","OK, I told you before that people are watching you, One guy in particular has an interest in you. I might have something big coming up with this new contact, but the job he has in mind will be difficult and you have to get ready for it. Come back when you've prepped a bit more and I will set you up."
"sm_moving_up_name","Moving up in the World"
"sm_moving_up_obj","Reach reputation level 25 or complete stealth tutorial."
