"--101eced83d19b81f","Захід"
"menu_deck10_3_short","Підбирачі боєприпасів також передають боєприпаси союзникам."
"menu_deck10_4","Злиття з природою"
"menu_deck10_4_desc","Ви отримуєте ##$multiperk;## підвищену прихованість.$NL;$NL;Коли ви носите броню, швидкість пересування знижується ##$multiperk2;## менше.$NL;$NL;Ви отримуєте ##$multiperk3;## більше досвіду, коли виконуєте дні та завдання."
"menu_deck10_4_short","Ви отримуєте ##$multiperk;## підвищену прихованість.$NL;$NL;Коли ви носите броню, швидкість пересування знижується ##$multiperk2;## менше.$NL;$NL;Ви отримуєте ##$multiperk3;## більше досвіду, коли виконуєте дні та завдання."
"menu_deck10_5","Ділитися - значить піклуватися"
"menu_deck10_5_desc","Коли ви отримуєте зцілення від збирання пакунків з набоями, члени вашої команди також отримують зцілення на ##$multiperk;## від цієї суми.$NL;$NL;Ви отримуєте на ##$multiperk2;## більше здоров'я."
"menu_deck10_5_short","Підбирачі боєприпасів також зцілюють союзників."
"menu_deck10_6","Гардеробна кімната"
"menu_deck10_6_desc","Відкриває сумку з бронею як спорядження, яке ви можете використовувати. Сумка з бронею може бути використана для зміни броні під час пограбування.$NL;$NL;Збільшує підбір патронів до ##$multiperk;## з нормальною частотою."
"menu_deck10_6_short","Відкриває сумку з бронею як спорядження, яке ви можете використовувати. Сумка з бронею може бути використана для зміни броні під час пограбування.$NL;$NL;Збільшує підбір патронів до ##$multiperk;## з нормальною частотою."
"menu_deck10_7","Більше зцілення 1"
"menu_deck10_7_desc","Збільшити кількість здоров'я, отриманого від набоїв, на додаткові ##$multiperk;##."
"menu_deck10_7_short","Збільшити кількість здоров'я, отриманого від набоїв, на додаткові ##$multiperk;##."
"menu_deck10_8","Форсаж"
"menu_deck10_8_desc","Ви завдаєте ##$multiperk;## більше шкоди. Не поширюється на шкоду від ближнього бою, метальних предметів, гранатометів і ракетниць.$NL;$NL;Збільшує швидкість взаємодії вашої сумки лікаря на ##$multiperk2;##."
"menu_deck10_8_short","Ви завдаєте ##$multiperk;## більше шкоди. Не поширюється на шкоду від ближнього бою, метальних предметів, гранатометів і ракетниць.$NL;$NL;Збільшує швидкість взаємодії вашої сумки лікаря на ##$multiperk2;##."
"menu_deck10_9","Більше зцілення 2"
"menu_deck10_9_desc","Збільшення здоров'я, отриманого від пачок боєприпасів, на додаткові ##$multiperk;##.$NL;$NL;Бонус за завершення колоди: ваш шанс отримати більш якісний предмет під час дня виплат збільшується на ##$multiperk2;##."
"menu_deck10_9_short","Збільшити кількість здоров'я, отриманого від набоїв, на додаткові ##$multiperk;##."
"menu_deck11_1","Гістамін"
"menu_deck11_1_desc","Ушкодження ворога відновлює ##$multiperk;## очок життя кожні ##$multiperk2;## секунди протягом ##$multiperk3;## секунд.$NL;$NL;Цей ефект підсумовується, але не може відбуватися частіше, ніж раз на ##$multiperk4;## секунди, і тільки під час носіння двокомпонентного костюма або легкого балістичного жилета."
"menu_deck11_1_short","Ушкодження ворога відновлює ##$multiperk;## очок життя кожні ##$multiperk2;## секунди протягом ##$multiperk3;## секунд.$NL;$NL;Цей ефект підсумовується, але не може відбуватися частіше, ніж раз на ##$multiperk4;## секунди, і тільки під час носіння двокомпонентного костюма або легкого балістичного жилета."
"menu_deck11_2","Вибух шолома"
"menu_deck11_2_desc","Збільшує шкоду від пострілу в голову на ##$multiperk;##."
"menu_deck11_2_short","Збільшує шкоду від пострілу в голову на ##$multiperk;##."
"menu_deck11_3","Адреналін"
"menu_deck11_3_desc","Ушкодження ворога тепер відновлює ##$multiperk;## очок життя кожні ##$multiperk2;## секунди протягом ##$multiperk3;## секунд.$NL;$NL;Ви отримуєте на ##$multiperk4;## більше здоров'я."
"menu_deck11_3_short","Ушкодження ворога тепер відновлює ##$multiperk;## очок життя кожні ##$multiperk2;## секунди протягом ##$multiperk3;## секунд.$NL;$NL;Ви отримуєте на ##$multiperk4;## більше здоров'я."
"menu_deck11_4","Злиття з природою"
"menu_deck11_4_desc","Ви отримуєте ##$multiperk;## підвищену прихованість.$NL;$NL;Коли ви носите броню, швидкість пересування знижується ##$multiperk2;## менше.$NL;$NL;Ви отримуєте ##$multiperk3;## більше досвіду, коли виконуєте дні та завдання."
"menu_deck11_4_short","Ви отримуєте ##$multiperk;## підвищену прихованість.$NL;$NL;Коли ви носите броню, швидкість пересування знижується ##$multiperk2;## менше.$NL;$NL;Ви отримуєте ##$multiperk3;## більше досвіду, коли виконуєте дні та завдання."
"menu_deck11_5","Ендорфіни"
"menu_deck11_5_desc","Ушкодження ворога тепер відновлює ##$multiperk;## очок життя кожні ##$multiperk2;## секунди протягом ##$multiperk3;## секунд.$NL;$NL;Збільшує ваш шанс пробити броню ворога на ##$multiperk4;##."
"menu_deck11_5_short","Ушкодження ворога тепер відновлює ##$multiperk;## очок життя кожні ##$multiperk2;## секунди протягом ##$multiperk3;## секунд.$NL;$NL;Збільшує ваш шанс пробити броню ворога на ##$multiperk4;##."
"menu_deck11_6","Гардеробна кімната"
"menu_deck11_6_desc","Відкриває сумку з бронею як спорядження, яке ви можете використовувати. Сумка з бронею може бути використана для зміни броні під час пограбування.$NL;$NL;Збільшує підбір патронів до ##$multiperk;## з нормальною частотою."
"menu_deck11_6_short","Відкриває сумку з бронею як спорядження, яке ви можете використовувати. Сумка з бронею може бути використана для зміни броні під час пограбування.$NL;$NL;Збільшує підбір патронів до ##$multiperk;## з нормальною частотою."
"menu_deck11_7","Дофамін"
"menu_deck11_7_desc","Ушкодження ворога тепер відновлює ##$multiperk;## очок життя кожні ##$multiperk2;## секунди протягом ##$multiperk3;## секунд.$NL;$NL;Ви отримуєте на ##$multiperk4;## більше здоров'я."
"menu_deck11_7_short","Ушкодження ворога тепер відновлює ##$multiperk;## очок життя кожні ##$multiperk2;## секунди протягом ##$multiperk3;## секунд.$NL;$NL;Ви отримуєте на ##$multiperk4;## більше здоров'я."
"menu_deck11_8","Форсаж"
"menu_deck11_8_desc","Ви завдаєте ##$multiperk;## більше шкоди. Не поширюється на шкоду від ближнього бою, метальних предметів, гранатометів і ракетниць.$NL;$NL;Збільшує швидкість взаємодії вашої сумки лікаря на ##$multiperk2;##."
"menu_deck11_8_short","Ви завдаєте ##$multiperk;## більше шкоди. Не поширюється на шкоду від ближнього бою, метальних предметів, гранатометів і ракетниць.$NL;$NL;Збільшує швидкість взаємодії вашої сумки лікаря на ##$multiperk2;##."
"menu_deck11_9","Ейфорія"
"menu_deck11_9_desc","Ушкодження ворога тепер відновлює ##$multiperk;## очок життя кожні ##$multiperk2;## секунди протягом ##$multiperk3;## секунд.$NL;$NL;Збільшення вашого шансу пробити броню ворога на ##$multiperk4;##.$NL;$NL;Бонус до завершення колоди: ваш шанс отримати більш якісний предмет під час Payday збільшується на ##$multiperk5;##."
"menu_deck11_9_short","Ушкодження ворога тепер відновлює ##$multiperk;## очок життя кожні ##$multiperk2;## секунди протягом ##$multiperk3;## секунд.$NL;$NL;Збільшити ваш шанс пробити броню ворога на ##$multiperk4;##."
"menu_deck12_1","Кой Ірезумі"
"menu_deck12_1_desc","Чим менше у вас здоров'я, тим більше швидкість відновлення броні. Коли ваше здоров'я нижче ##$multiperk;##, ви отримаєте до ##$multiperk2;## швидкість відновлення броні.$NL;$NL;ПРИМІТКА: Увійшовши в цей стан, ви відміняєте сторонні ефекти регенерації."
"menu_deck12_1_short","Чим менше у вас здоров'я, тим вище швидкість відновлення броні. Коли ваше здоров'я нижче ##$multiperk;##, ви отримаєте до ##$multiperk2;## швидкість відновлення броні."
"menu_deck12_3","Хебі Ірезумі"
"menu_deck12_3_desc","Чим нижче здоров'я, тим більша швидкість пересування. Коли ваше здоров'я нижче ##$multiperk;##, ви отримуєте понад ##$multiperk2;## швидкості пересування."
"menu_deck12_3_short","Чим нижче здоров'я, тим більша швидкість пересування. Коли ваше здоров'я нижче ##$multiperk;##, ви отримуєте понад ##$multiperk2;## швидкості пересування."
"menu_deck12_5","Тора Ірезумі"
"menu_deck12_5_desc","Чим менше у вас здоров'я, тим більше швидкість відновлення броні. Коли ваше здоров'я буде нижче ##$multiperk;##, ви отримаєте додатковий ##$multiperk2;## швидкості відновлення броні."
"menu_deck12_5_short","Чим менше у вас здоров'я, тим більше швидкість відновлення броні. Коли ваше здоров'я буде нижче ##$multiperk;##, ви отримаєте додатковий ##$multiperk2;## швидкості відновлення броні."
"menu_deck12_7","Рю Ірезумі"
"menu_deck12_7_desc","Чим менше у вас здоров'я, тим більше швидкість відновлення броні. Коли ваше здоров'я буде нижче ##$multiperk;##, ви отримаєте додатковий ##$multiperk2;## швидкості відновлення броні."
"menu_deck12_7_short","Чим менше у вас здоров'я, тим більше швидкість відновлення броні. Коли ваше здоров'я буде нижче ##$multiperk;##, ви отримаєте додатковий ##$multiperk2;## швидкості відновлення броні."
"menu_deck12_9","Оні Ірезумі"
"menu_deck12_9_desc","Усі ефекти стану берсеркера в цій колоді починаються з ##$multiperk;## здоров'я замість ##$multiperk2;##.$NL;$NL;Бонус за завершення колоди: ваш шанс отримати більш якісний предмет під час дня оплати збільшується на ##$multiperk3;##."
"menu_deck12_9_short","Усі ефекти стану берсеркера в цій колоді починаються з ##$multiperk;## здоров'я замість ##$multiperk2;##."
"menu_deck13_1","Пойнт Брейк"
"menu_deck13_1_desc","Поки ваша броня працює, ви зберігатимете ##$multiperk;## здоров'я за кожного ##$multiperk2;## ворога, якого ви або ваша команда вб'єте.$NL;$NL;Коли ваша броня буде повністю виснажена, а потім почне регенеруватися, ви отримаєте здоров'я, що дорівнює кількості збереженого здоров'я.$NL;$NL;Максимальна кількість збереженого здоров'я залежить від екіпірованої вами броні."
"menu_deck13_1_short","Поки ваша броня піднята, ви зберігатимете ##$multiperk;## здоров'я за кожного ##$multiperk2;## ворога, якого ви або ваша команда вб'єте. Коли ваша броня відновиться після виснаження, ви отримаєте здоров'я, що дорівнює кількості збереженого здоров'я. Максимальна кількість збереженого здоров'я залежить від вашого обладунку."
"menu_deck13_3","Сила, що зароджується"
"menu_deck13_3_desc","Збільшує кількість збереженого здоров'я від вбивств на ##$multiperk;##.$NL;$NL;Ви отримуєте ##$multiperk2;## більше здоров'я."
"menu_deck13_3_short","Збільшує кількість збереженого здоров'я від вбивств на ##$multiperk;##.$NL;$NL;Ви отримуєте ##$multiperk2;## більше здоров'я."
"menu_deck13_5","Життя льоду"
"menu_deck13_5_desc","Збільшує максимальний запас здоров'я, який можна зберегти на ##$multiperk;##.$NL;$NL;Ви отримуєте ##$multiperk2;## більше здоров'я.$NL;$NL;Ваш шанс ухилитися збільшується на ##$multiperk3;##."
"menu_deck13_5_short","Збільшує максимальний запас здоров'я, який можна зберегти на ##$multiperk;##.$NL;$NL;Ви отримуєте ##$multiperk2;## більше здоров'я.$NL;$NL;Ваш шанс ухилитися збільшується на ##$multiperk3;##."
"menu_deck13_7","Пробудження Землі"
"menu_deck13_7_desc","Збільшує кількість збереженого здоров'я від вбивств на ##$multiperk;##.$NL;$NL;Ви отримуєте ##$multiperk2;## більше здоров'я."
"menu_deck13_7_short","Збільшує кількість збереженого здоров'я від вбивств на ##$multiperk;##.$NL;$NL;Ви отримуєте ##$multiperk2;## більше здоров'я."
"menu_deck13_9","Ідеальна лінія"
"menu_deck13_9_desc","Вбивство ворога прискорює час відновлення вашої броні залежно від того, скільки у вас броні. Чим більше броні, тим менша швидкість відновлення за кожне вбивство.$NL;Швидкість відновлення броні скидається щоразу, коли відновлюється ваша броня.$NL;$NL;Бонус за завершення колоди: ваш шанс отримати більш якісний предмет під час дня виплат збільшується на ##$multiperk2;##."
"menu_deck13_9_short","Вбивство ворога прискорює час відновлення вашої броні залежно від того, скільки у вас броні. Чим більше броні, тим менша швидкість відновлення за кожне вбивство.$NL;Швидкість відновлення броні скидається щоразу, коли ваша броня відновлюється."
"menu_deck14_1","Хвилювання"
"menu_deck14_1_desc","##$multiperk;## завданої вами шкоди конвертується в стеки істерії, до ##$multiperk2;## кожні ##$multiperk3;## секунди. Максимальна кількість стеків - ##$multiperk4;##.$NL;$NL;Стеки істерії$NL;Ви отримуєте ##$multiperk5;## поглинання шкоди за кожні ##$multiperk6;## стеки істерії. Стеки істерії зменшуються ##$multiperk7;## кожні ##$multiperk8;## секунди."
"menu_deck14_1_short","##$multiperk;## завданої вами шкоди конвертується в стеки істерії, до ##$multiperk2;## кожні ##$multiperk3;## секунди. Максимальна кількість стеків - ##$multiperk4;##.$NL;$NL;Стеки істерії$NL;Ви отримуєте ##$multiperk5;## поглинання шкоди за кожні ##$multiperk6;## стеки істерії. Стеки істерії зменшуються ##$multiperk7;## кожні ##$multiperk8;## секунди."
"menu_deck14_3","Вибух"
"menu_deck14_3_desc","Члени вашої команди також отримують ефект від ваших стеків істерії.$NL;$NL;Стеки істерії від кількох членів команди не сумуються, і лише ті стеки, які дають найбільше поглинання шкоди, матимуть ефект."
"menu_deck14_3_short","Члени вашої команди також отримують ефект від ваших стеків істерії.$NL;$NL;Стеки істерії від кількох членів команди не сумуються, і лише ті стеки, які дають найбільше поглинання шкоди, матимуть ефект."
"menu_deck14_5","Запал"
"menu_deck14_5_desc","Змініть розпад ваших стеків істерії на ##$multiperk;## кожні ##$multiperk2;## секунди."
"menu_deck14_5_short","Змініть розпад ваших стеків істерії на ##$multiperk;## кожні ##$multiperk2;## секунди."
"menu_deck14_7","Нерозсудливість"
"menu_deck14_7_desc","Змініть поглинання шкоди від ваших стеків Істерії для вас і вашої команди на ##$multiperk;## поглинання шкоди за кожні ##$multiperk2;## стеків Істерії."
"menu_deck14_7_short","Змініть поглинання шкоди від ваших стеків Істерії для вас і вашої команди на ##$multiperk;## поглинання шкоди за кожні ##$multiperk2;## стеків Істерії."
"menu_deck14_9","Божевілля"
"menu_deck14_9_desc","Поглинання шкоди від стеків істерії на вас збільшується на ##$multiperk;##.$NL;$NL;Бонус за завершення колоди: ваш шанс отримати більш якісний предмет під час Payday збільшується на ##$multiperk2;##."
"menu_deck14_9_short","Поглинання шкоди від стеків істерії на вас збільшується на ##$multiperk;##."
"menu_deck15_1","Бліцкриг Боп"
"menu_deck15_1_desc","Замість того, щоб повністю регенерувати броню поза боєм, Анархіст буде безперервно регенерувати броню протягом усього бою. Важча броня регенерує більше броні, але за довші проміжки часу.$NL;$NL;Коли ваша броня виснажиться, ви отримаєте імунітет до шкоди здоров'ю на ##$multiperk;## секунд. Це не може відбуватися частіше, ніж раз на ##$multiperk2;## секунд.$NL;$NL;Примітка: Вміння та перки, що збільшують швидкість відновлення броні, вимикаються під час використання цієї колоди перків."
"menu_deck15_1_short","Замість того, щоб повністю регенерувати броню поза боєм, Анархіст буде безперервно регенерувати броню протягом усього бою. Важча броня регенерує більше броні, але за довші проміжки часу.$NL;$NL;Коли ваша броня виснажиться, ви отримаєте імунітет до шкоди здоров'ю на ##$multiperk;## секунд. Це не може відбуватися частіше, ніж раз на ##$multiperk2;## секунд.$NL;$NL;Примітка: Вміння та перки, що збільшують швидкість відновлення броні, вимикаються під час використання цієї колоди перків."
"menu_deck15_3","Прямий край"
"menu_deck15_3_desc","##$multiperk;## вашого здоров'я перетворюється на ##$multiperk2;## броню."
"menu_deck15_3_short","##$multiperk;## вашого здоров'я перетворюється на ##$multiperk2;## броню."
"menu_deck15_5","Смерть або слава"
"menu_deck15_5_desc","##$multiperk;## вашого здоров'я перетворюється на ##$multiperk2;## броню."
"menu_deck15_5_short","##$multiperk;## вашого здоров'я перетворюється на ##$multiperk2;## броню."
"menu_deck15_7","Піднятися вище"
"menu_deck15_7_desc","##$multiperk;## вашого здоров'я перетворюється на ##$multiperk2;## броню."
"menu_deck15_7_short","##$multiperk;## вашого здоров'я перетворюється на ##$multiperk2;## броню."
"menu_deck15_9","Жага до життя"
"menu_deck15_9_desc","Нанесення шкоди дасть вам ##$multiperk;## броню - це може відбуватися лише раз на ##$multiperk2;## секунд.$NL;$NL;Бонус за завершення колоди: ваш шанс отримати більш якісний предмет під час дня оплати збільшується на ##$multiperk3;##."
"menu_deck15_9_short","Нанесення шкоди додасть вам ##$multiperk;## броні - це може відбуватися лише раз на ##$multiperk2;## секунд."
"menu_deck16_1","Проспект"
"menu_deck16_1_desc","Кожного разу, коли ви або ваша команда вбиваєте, ви отримуєте ##$multiperk;## здоров'я та ##$multiperk2;## броні. Це не може відбуватися частіше, ніж ##$multiperk3;## разів кожні ##$multiperk4;## секунди."
"menu_deck16_1_short","Кожного разу, коли ви або ваша команда вбиваєте, ви отримуєте ##$multiperk;## здоров'я та ##$multiperk2;## броні. Це не може відбуватися частіше, ніж ##$multiperk3;## разів кожні ##$multiperk4;## секунди."
"menu_deck16_3","Хвостовий кулеметник"
"menu_deck16_3_desc","Кожне ##$multiperk;## здоров'я, якого бракує, збільшує кількість броні, отриманої від вбивств, на ##$multiperk2;##."
"menu_deck16_3_short","Кожне ##$multiperk;## здоров'я, якого бракує, збільшує кількість броні, отриманої від вбивств, на ##$multiperk2;##."
"menu_deck16_5","Дорожній капітан."
"menu_deck16_5_desc","Кожне ##$multiperk;## здоров'я, якого не вистачає, зменшує ##$multiperk2;## секунду перезарядки для вбивства регенерації на ##$multiperk3;## секунди."
"menu_deck16_5_short","Кожне ##$multiperk;## здоров'я, якого не вистачає, зменшує ##$multiperk2;## секунду перезарядки для вбивства регенерації на ##$multiperk3;## секунди."
"menu_deck16_7","Сержант"
"menu_deck16_7_desc","Кожна відсутня ##$multiperk;## броня збільшує кількість здоров'я, отриманого від вбивств, на ##$multiperk2;##."
"menu_deck16_7_short","Кожна відсутня ##$multiperk;## броня збільшує кількість здоров'я, отриманого від вбивств, на ##$multiperk2;##."
"menu_deck16_9","Презе!"
"menu_deck16_9_desc","Кожна ##$multiperk;## відсутня броня зменшує ##$multiperk2;## секунду перезарядки регенерації для вбивства на ##$multiperk3;## секунду.$NL;$NL;Бонус за завершення колоди: ваш шанс отримати більш якісний предмет під час Payday збільшується на ##$multiperk4;##."
"menu_deck16_9_short","Кожна ##$multiperk;## відсутня броня зменшує перезарядку регенерації на ##$multiperk3;## секунду."
"menu_deck17_1","Поганий хлопець йде."
"menu_deck17_1_desc","Розблоковує та екіпірує Інжектор Кінгпіна.$NL;$NL;Перехід до іншої колоди перків зробить Інжектор знову недоступним. Ін'єктор замінює ваш поточний кидок, екіпірується у слот для кидків і може бути вимкнений за бажанням.$NL;$NL;Під час гри ви можете використовувати ключ кидка ##$BTN_ABILITY;## для активації Ін'єктора.$NL;$NL;Активація ін'єктора зцілить вас на ##$multiperk;## від усієї шкоди, отриманої протягом ##$multiperk2;## секунд.$NL;$NL;Під час дії ефекту ви все ще отримуєте ушкодження. Інжектор можна використовувати лише раз на ##$multiperk3;## секунд."
"menu_deck17_1_short","Відкриває та екіпірує Інжектор Шкворня, який замінює ваш поточний кидок. Ін'єктор зцілить вас на ##$multiperk;## від усієї отриманої шкоди протягом ##$multiperk2;## секунд. Ін'єктор можна використовувати лише раз на ##$multiperk3;## секунд."
"menu_deck17_3","Грай грубо"
"menu_deck17_3_desc","Ви отримуєте на ##$multiperk;## більше здоров'я."
"menu_deck17_3_short","Ви отримуєте на ##$multiperk;## більше здоров'я."
"menu_deck17_5","Ворог суспільства №1"
"menu_deck17_5_desc","Ви отримуєте ##$multiperk;## більше здоров'я.$NL;$NL;Вороги поблизу волітимуть атакувати вас, коли це можливо, поки діє ефект Інжектора."
"menu_deck17_5_short","Ви отримуєте ##$multiperk;## більше здоров'я.$NL;$NL;Вороги поблизу волітимуть атакувати вас, коли це можливо, поки діє ефект Інжектора."
"menu_deck17_7","Шарій проти Кулій"
"menu_deck17_7_desc","Ви отримуєте ##$multiperk;## більше здоров'я.$NL;$NL;Кількість здоров'я, отриманого під час дії ефекту ''Інжектор'', збільшується на ##$multiperk3;##, якщо воно нижче ##$multiperk2;## здоров'я."
"menu_deck17_7_short","Ви отримуєте ##$multiperk;## більше здоров'я.$NL;$NL;Кількість здоров'я, отриманого під час дії ефекту ''Інжектор'', збільшується на ##$multiperk3;##, якщо воно нижче ##$multiperk2;## здоров'я."
"menu_deck17_9","Прямо до вершини"
"menu_deck17_9_desc","Ви отримуєте ##$multiperk;## більше здоров'я.$NL;$NL;За кожні ##$multiperk3;## очок здоров'я, отримані під час дії інжектора на максимальному рівні здоров'я, час перезарядки інжектора зменшується на ##$multiperk4;## секунд.$NL;$NL;Бонус за завершення колоди: ваш шанс отримати більш якісний предмет під час дня оплати збільшується на ##$multiperk5;##."
"menu_deck17_9_short","Ви отримуєте на ##$multiperk;## більше здоров'я. За кожні ##$multiperk3;## очок здоров'я, отриманих під час дії інжектора на максимальному рівні здоров'я, час перезарядки інжектора зменшується на ##$multiperk4;## секунд."
"menu_deck18_1","Курець"
"menu_deck18_1_desc","Розблоковує та екіпірує димову шашку.$NL;$NL;Перехід до іншої колоди перків зробить димову шашку знову недоступною. Димова шашка замінює ваш поточний кидок, знаходиться у вашому слоті для кидків і може бути вимкнена за бажанням$NL;$NL;Під час гри ви можете використовувати клавішу кидка ##$BTN_ABILITY;## для розгортання димової шашки.$NL;$NL;Після розгортання димова шашка створює димову завісу, яка триває протягом ##$multiperk;## секунд. Перебуваючи всередині димової завіси, ви та ваші союзники автоматично уникаєте ##$multiperk2;## всіх куль. Усі вороги, які стоять у диму, побачать, що їхня точність знижується на ##$multiperk4;##.$NL;$NL;Після того, як димова завіса розсіюється, димова бомба перебуває на перезарядці протягом ##$multiperk3;## секунд, але вбивство ворогів зменшує цю перезарядку на ##$multiperk5;## секунди."
"menu_deck18_1_short","Розблоковує та екіпірує димову шашку, замінюючи ваш поточний метальний снаряд. Після розгортання димова шашка створює димову завісу, яка триває ##$multiperk;## секунд. Перебуваючи в димовій завісі, всі гравці автоматично уникають ##$multiperk2;## всіх куль. Вороги, які стоять у диму, побачать, що їхня точність знижується на ##$multiperk4;##. Димова шашка потребує перезарядки ##$multiperk3;## секунд, але вбивство ворогів зменшить цю перезарядку на ##$multiperk5;## секунд."
"menu_deck18_3","Сіпайся."
"menu_deck18_3_desc","Щоразу, коли гравець отримує постріл, він отримує ##$multiperk;## шанс ухилитися. Цей ефект скидається, як тільки гравець ухиляється, і не з'являється протягом наступної ##$multiperk2;## секунди."
"menu_deck18_3_short","Щоразу, коли гравець отримує постріл, він отримує ##$multiperk;## шанс ухилитися. Цей ефект скидається, як тільки гравець ухиляється, і не з'являється протягом наступної ##$multiperk2;## секунди."
"menu_deck18_5","Тонкий."
"menu_deck18_5_desc","Ваш шанс ухилитися збільшується на ##$multiperk;##."
"menu_deck18_5_short","Ваш шанс ухилитися збільшується на ##$multiperk;##."
"menu_deck18_7","Щит спритності"
"menu_deck18_7_desc","Ухиляння поповнить вашу броню."
"menu_deck18_7_short","Ухиляння поповнить вашу броню."
"menu_deck18_9","Невидима Тінь"
"menu_deck18_9_desc","Всі ваші ефекти колоди перків збільшуються на ##$multiperk;##, поки ви стоїте в димовій завісі. Поки всі ваші союзники стоять у димовій завісі, вони отримують ##$multiperk2;## шанс ухилитися.$NL;$NL;Бонус за завершення колоди: ваш шанс отримати більш якісний предмет під час дня виплат збільшується на ##$multiperk3;##."
"menu_deck18_9_short","Всі ефекти вашої колоди перків збільшуються на ##$multiperk;##, поки ви стоїте в димовій завісі. Поки всі ваші союзники стоять у димовій завісі, вони отримують ##$multiperk2;## шанс ухилитися."
"menu_deck19_1","Чеснота"
"menu_deck19_1_desc","Відкриває та екіпірує Stoic Hip Flask.$NL;$NL;Перехід до іншої колоди перків зробить Stoic Hip Flask знову недоступним. Stoic Hip Flask замінює ваш поточний метальний предмет, знаходиться у вашому слоті для метальних предметів і може бути вимкнений за бажанням.$NL;$NL;Отриману шкоду зменшено на ##$multiperk;##. Решта шкоди буде нанесена безпосередньо.$NL;$NL;Зменшена шкода ##$multiperk;## буде нанесена з часом (##$multiperk2;## секунд) замість цього.$NL;$NL;Ви можете використовувати киданий ключ ##$BTN_ABILITY;##, щоб активувати флягу Stoic Hip Flask і негайно звести нанівець будь-яку відкладену шкоду. Фляга має ##$multiperk3;## секундний перезаряд, але час, що залишився, буде зменшуватися на 1 секунду за кожного вбитого ворога."
"menu_deck19_1_short","Відкриває та екіпірує Stoic Hip Flask, замінюючи вашу поточну метальну флягу. Отримана шкода тепер зменшується на ##$multiperk;##, і зменшена шкода буде застосовуватися з часом (##$multiperk2;## секунд). Фляга зі стегнами стоїка негайно скасовує будь-яку відкладену шкоду, коли її взято. Фляга має ##$multiperk3;## секундний перезаряд, але час, що залишився, буде зменшуватися на 1 секунду за кожного вбитого ворога."
"menu_deck19_3","Не рухається."
"menu_deck19_3_desc","Вся ваша броня конвертується і додається до вашого здоров'я."
"menu_deck19_3_short","Вся ваша броня конвертується і додається до вашого здоров'я."
"menu_deck19_5","Спокійно."
"menu_deck19_5_desc","Після відсутності пошкоджень протягом ##$multiperk;## секунд будь-яка шкода, яку ви все ще очікуєте отримати, буде анульована."
"menu_deck19_5_short","Після відсутності пошкоджень протягом ##$multiperk;## секунд будь-яка шкода, яку ви все ще очікуєте отримати, буде анульована."
"menu_deck19_7","Незворушний"
"menu_deck19_7_desc","Коли ваше здоров'я буде нижче ##$multiperk;##, час охолодження фляги зменшиться на ##$multiperk2;## секунд за кожного вбитого ворога замість ##$multiperk3;## секунд."
"menu_deck19_7_short","Коли ваше здоров'я буде нижче ##$multiperk;##, час охолодження фляги зменшиться на ##$multiperk2;## секунд за кожного вбитого ворога замість ##$multiperk3;## секунд."
"menu_deck19_9","Витривалий"
"menu_deck19_9_desc","Після зняття надмірної шкоди ви будете зцілені за додаткову ##$multiperk;## частину надмірної шкоди, що залишилася на той момент.$NL;$NL;Бонус за завершення колоди: ваш шанс отримати більш якісний предмет під час дня виплат збільшується на ##$multiperk2;##."
"menu_deck19_9_short","Після зняття надлишкової шкоди ви будете зцілені на додаткову ##$multiperk;## частину надлишкової шкоди, що залишилася на той момент."
"menu_deck1_1","Груба сила"
"menu_deck1_1_desc","Ви надаєте ##$multiperk2;## зменшення шкоди гравцям у вашій групі. Цей бонус подвоюється, коли у вас залишається менше ##$multiperk3;## здоров'я."
"menu_deck1_1_short","Ви надаєте ##$multiperk2;## зменшення шкоди гравцям у вашій групі. Цей бонус подвоюється, коли у вас залишається менше ##$multiperk3;## здоров'я."
"menu_deck1_2","Вибух шолома"
"menu_deck1_2_desc","Збільшує шкоду від пострілу в голову на ##$multiperk;##."
"menu_deck1_2_short","Збільшує шкоду від пострілу в голову на ##$multiperk;##."
"menu_deck1_3","Людина-марафонець"
"menu_deck1_3_desc","Витривалість вас і вашої команди збільшується на ##$multiperk;##.$NL;$NL;Збільшує відстань крику на ##$multiperk2;##.$NL;$NL;Коли ви знаходитесь на середній відстані від ворога, ви отримуєте ##$multiperk3;## менше шкоди від ворогів.$NL;Примітка: Перки команди не сумуються."
"menu_deck1_3_short","Витривалість вас і вашої команди збільшується на ##$multiperk;##.$NL;$NL;Збільшує відстань крику на ##$multiperk2;##.$NL;$NL;Коли ви знаходитесь на середній відстані від ворога, ви отримуєте ##$multiperk3;## менше шкоди від ворогів.$NL;Примітка: Перки команди не сумуються."
"menu_deck1_4","Злиття з природою"
"menu_deck1_4_desc","Ви отримуєте ##$multiperk;## підвищену прихованість.$NL;$NL;Коли ви носите броню, швидкість пересування знижується ##$multiperk2;## менше.$NL;$NL;Ви отримуєте ##$multiperk3;## більше досвіду, коли виконуєте дні та завдання."
"menu_deck1_4_short","Ви отримуєте ##$multiperk;## підвищену прихованість.$NL;$NL;Коли ви носите броню, швидкість пересування знижується ##$multiperk2;## менше.$NL;$NL;Ви отримуєте ##$multiperk3;## більше досвіду, коли виконуєте дні та завдання."
"menu_deck1_5","Набір Вульфа"
